Unnamed: 0,Bad,Good,Hate,Privacy,Private,Personal,Steal,Cheat,Star Mean
Week 1,0,7,0,0,0,0,0,0,4.298701298701299
Week 2,12,6,4,46,34,97,118,3,1.027363184079602
Week 3,0,0,0,0,0,0,0,0,1.0
Week 4,0,0,0,0,0,0,0,0,2.8
Week 5,1,12,1,0,0,0,0,0,3.774193548387097
Week 6,4,4,0,37,25,80,82,3,1.0125
Week 7,0,0,0,0,0,0,0,0,2.0
Week 8,1,10,0,0,0,0,0,0,4.115942028985507
Week 9,5,4,3,20,13,39,61,2,1.1642512077294687
Week 10,1,8,0,10,5,17,28,0,1.5263157894736843
Week 11,2,9,0,0,0,0,0,0,3.5925925925925926
Week 12,2,2,1,4,7,17,16,0,1.0394736842105263
