Star,Date,Name,Reaction,Review
1,2018-11-17,Siddiq Khan,0,Why the hell you want my SD card access?? Fuc*k your app
1,2018-09-11,BlueRage Arifin,14,"This app steals your sms, contact list and app list from your device, without your consent. App developers fix it."
1,2018-09-11,Isteak Hamid,13,Pathao store your sms and contacts from your phobe without your consent.It is strict violation of privacy..
1,2018-10-11,Rayhan Abdullah,2,Uninstalled today. Even my parents does not spy on me to protect me.
1,2018-11-13,imran lemon,1,"Fraud. Stealing private informations. In every ride, they overcharged."
1,2018-12-11,A Google user,0,চোর
1,2018-09-11,S. M. NAHIDUZZAMAN,13,This app is fraud. Stealing customers data secretly.
1,2018-11-16,anik saha,0,"after last update this app is horrible, specially GPS. And drivers are so poor. always demands extra money from me"
1,2018-10-11,Fatema Tuj Jahura,0,Faltu
1,2018-10-11,Fahim Himu,4,don't download this app if u love Ur privacy
1,2018-10-11,Perseus,0,চোরররররররর
1,2018-10-11,Mu'tasim Billah,0,"This app has been caught stealing personal user data (including SMS, not only OTP)."
1,2018-12-11,Shibli Farhan,1,This company is thief. Steals all yous personal information without permission.
1,2018-11-15,Masroor Hussain,0,"they should inform us to what extent they have used our text messages, who had access to these messages and prove that they have deleted all the data to get people confidence back"
1,2018-12-11,Md. Mafujul Islam,0,"আমরা কত ভালো, জাস্ট এক স্টার রেটিং দিয়ে ছেড়ে দিচ্ছি। পাঠাও অফিস ঘেরাও করে জিজ্ঞেস করার দরকার ছিল যে আমাদের পার্সোনাল তথ্য কেন তুমার দরকার!!!"
1,2018-12-11,Jameur Fida,0,"They Are Pirate.They are collecting our most valuable and personal data.They are storing our contacts,call list and messages data on their server.Never install or use this app."
1,2018-09-11,Md Elias,19,Fraud app...i un install now and never install it latter.
1,2018-12-11,Shafquat Mosharraf,1,They steal data of users. They deserve less than zero stars.
1,2018-10-11,A Google user,2,They are stealing your data without notified you.
1,2018-09-11,shafiul hasan,6,You are stealing sensitive data!! Uninstalling it right now!
1,2018-11-15,Abdullah Al Nashar,0,I can't able to enter in App from my residence. That cussing i don't use the app
1,2018-09-11,Mazhar Masum,10,"Is it true, that you guys are stoling users information like sms & contact list?"
1,2018-12-11,david winchester,0,Digital stealing and breaching consumers personal informations isn't a solution for successful business.
1,2018-12-11,Zahid Hasan,0,"This app steal personal information from mobile like contacts, SMS etc."
1,2018-09-11,sadjjad hossain,8,its hack user personal info from phone and store it on their server for various use
1,2018-11-13,Sakil Imtiaz Wahid,1,used to be a huge fan.. you guys are just another scumbags.
1,2018-11-13,ruhul amin,0,Very bad and poor apps. Now they are stealing personal information of user.
1,2018-11-13,Trevor Fernandes,0,Useless always no riders near you whenever I book.
