,Unnamed: 0,Review,Comment_Count,Reaction,Name,Date,Time
0,0,Looking for two person who will manage to drive Bike in Uber/Pathao.Interested persons are highly recommend to inbox me.Thank you 😊 NB:I’ll provide bikes.,1,3,Mohaimin Rahabar to Desperately Seeking Dhaka - DSD,2018-06-27, 7:28 AM
1,1,"...And most importantly, You don't have to register to Pathao for it. You can fetch their data with your low-spec phone, from Bangladesh or anywhere. In just 2 minutes, I found 10+ active URL with private...",2,31,Mugdho Sapiens,2018-12-23, 6:11 PM
2,2,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মিরপুর-2
স্থায়ী বেতন 12,000 TK + Part time Uber/Pathao Commission 15% (After Expense)  শুধুমাত্র আগ্রহী ব্যক্তিকে যোগাযোগের নম্বর…",18,14,Zobayed Hassan to Uber driver Dhaka🚃,2018-10-13,12:39 PM
3,3,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",52,545,Pathao,2017-10-10, 3:54 PM
4,4,When your younger brother is your personal Pathao rider🌚❤️,1,61,Rubaiyaat Adiba is with Alif Liam.,2018-08-12, 8:04 PM
5,5,"Mazda Axela 2005  Price: ৳7,50,000  Dhaka, Bangladesh Mazda Axela.Urgent Sale. Make Year : 2005 Registration :2008 Serial :23 Color : Silvrer. CC:1500 Transmission : Automatic Options : Ice cool AC, Original Alloy Rim with new tyre, New battery,Full…",1,17,Shobarbazar.com,2018-01-10, 1:49 PM
6,6,"Personal + Uber
ড্রাইভার প্রয়োজন  জানুয়ারী মাস থেকে !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মগবাজার,ডাক্তারগলি
স্থায়ী বেতন 10,000 TK + Part time Uber/Pathao Commission 25% (After Expense) Car : Toyota…",4,6,Dipanjal Chakraborty to Uber driver Dhaka🚃,2018-09-12, 1:06 PM
7,7,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 8:00 PM (ঢাকায়) 
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়) 
শিক্ষা: ক্লাস 8 (আট)পাস 
স্থান: মিরপুর ডিওএইচএস 
স্থায়ী বেতন 10,000 TK + Part time Uber/Pathao Commission 30% (After Expense) X Corolla   শুধুমাত্র আগ্রহী ব্যক্তিকে আপনার…",2,7,Tanvir Rahman to Dhaka Drivers Group,2018-07-10, 5:02 PM
8,8,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",51,2000,Pathao,2017-10-10,12:56 PM
9,10,"Dear Pathao & Pathao Users Of Bangladesh, I would have posted this status yesterday but I was in an immense amount of shock. How can I not be in shock? I literally bathed in my blood yesterday and even...",43,218,Mohammadullah Imran,2018-05-12, 4:29 PM
