Star,Date,Name,Reaction,Review
1,"11 9, 2018 11 8, 2018",Md. Abdullah Al-Alamin Pathao Inc,21,Stealing personal sms from phone. Giving a finger to people's privacy and security
1,"11 17, 2018 11 19, 2018",A Google user Pathao Inc,0,Khubi baje service....Wasa theke foy's lake dekhiyeche 52 tk bt namar por aslo 96 tk....If it continue pathao will be fall down..
1,"11 10, 2018 3 14, 2018",Avik Tripura Pathao Inc,7,"So the reason for this one star review is basically cause I got scammed by one your riders and I later realized there is so complaint system in your whole platform. Not in your website or in your app. This is a greatly overlooked design issue. Please look into this. Anyway for my complaint, Id like ...Full ReviewSo the reason for this one star review is basically cause I got scammed by one your riders and I later realized there is so complaint system in your whole platform. Not in your website or in your app. This is a greatly overlooked design issue. Please look into this. Anyway for my complaint, Id like to say that I choose my destination and called the rider. Usually all the riders call but this one did not so I just waited a while and called him. The ride itself was alright and he seemed to be a reasonable is server. However when it came to the payment, he said my ride cost 203 taka. I knew this was not possible cause a) I applied is the discount and I was well bellow that and b) even if it was higher it wouldn't reach that high. He did not show me the cost as he hid the actual number using his hands. I paid him anyway seeing I got to my destination safe and sound but I feel like I got cheated. More so that the rider did not appear in my history. Which leads me to believe that he did not register the ride for that trip. This made me upset and I tried to actually reach pathao to complain but you have no outlets for said complaint. Everything is convergent in terms of feed back. How are you going to improve the service if it does not let users voice their opinions? This was not a technical issue (but there are those such as frequent crashes and the GPS bug which doesn't go away if you don't restart the whole app), but I feel like these are the problems you should look to address. Anyway I just wanted to write this for your own company benefit and hope you fix this. Till I get a remedy or a reply I will use alternative services like uber or shohoj. If you made it this far, thank you for reading and more importantly, may you take some actions. Edit: Well damn, and now you people are accused of stealing user data and your excuse is ""women security"". Jeez. . . I was hoping to recorrect my review but I never got the call back for a follow up in the email. Anyway too late. I know you will not be affected by the current fiasco much but please do take user feed back into consideration. Today was the last day for a happy hour for a certain restaurant and the menu doesn't show up in you app. Just Heads up. You have permanently lost an user."
1,"11 16, 2018 11 17, 2018",Mridul Mondal Pathao Inc,0,"Most of the time it take a long time to load. And I cant provide my desire location. when I open this apps it I cant enter my location, it load on and on."
1,"2 27, 2018 3 21, 2018",i love my country Bangladesh Pathao Inc,0,Bad
1,"11 18, 2018 11 7, 2018",Rajib Bright Pathao Inc,6,"Do you guys even pay the smallest amount care about the people who take rides? If yes then how can morons like the driver of my last ride can be a part of pathao? He tried to make me the way he wanted. When he failed he tried to start a quarrel with the help of local people. When he failed again he ...Full ReviewDo you guys even pay the smallest amount care about the people who take rides? If yes then how can morons like the driver of my last ride can be a part of pathao? He tried to make me the way he wanted. When he failed he tried to start a quarrel with the help of local people. When he failed again he tried to threaten me by saying I can't leave this place and he is ""elakar pola"" and he is calling other ""polapains"". He also used demeaning terms like ""protibondhi"" towards me. He tried to instigate others by saying, ""150 taka vara dia mone hoi bike kinna laiche."" He also tried to call me a bike thief. He tried to make me cancel the ride when I don't have the opportunity. It is a clear example of exploiting features of your app which you guys don't have. How can you guys be a project worth billion with this type of riders? I had issues with pathao before and this time it was the limit. Seems to me you guys are paying less and less attention to the people who are sharing a ride. And the security issue is a big one at it. Maybe I should avoid pathao after all."
1,"11 15, 2018 11 19, 2018",Md.Reefat Hossain Pathao Inc,18,Very bad service because it is force me to use location on all the time I open the app. If the location is off this app not operate !
1,"3 23, 2018 4 12, 2018",Md sultan Mahmud Pathao Inc,0,Bad
1,"8 31, 2018 11 12, 2018",my choice Pathao Inc,0,slow
1,"9 23, 2018 11 10, 2018",Adiba Sultana Mim Pathao Inc,0,Horrible
1,"11 10, 2018 11 10, 2018",Atiqur Rahaman Pathao Inc,0,bad
1,"11 10, 2018 11 10, 2018",fahim hossain Pathao Inc,0,bad
1,"11 10, 2018 11 10, 2018",MD. Tangerul Alam jepu Pathao Inc,0,Bad
1,"3 27, 2018 4 13, 2018",A Google user Pathao Inc,0,Very Bad Very Bed
1,"11 8, 2018 11 8, 2018",Moshiur Rahman Pathao Inc,9,They steals user contacts and messages and upload them to their server and use for business.
1,"11 9, 2018 11 8, 2018",Md. Zahidul Islam Pathao Inc,15,ডাটা চুরি করছে কাউকে না জানিয়ে।
1,"11 3, 2018 11 4, 2018",Arunava Biswas Pathao Inc,3,I'm entering my ACTUAL VALID email address but it's not taking it. It's repeating again and again to put a valid email address. Is this a joke? I'm very very pissed off right now
1,"11 13, 2018 11 19, 2018",Ashik Hassan Pathao Inc,0,gd
1,"11 12, 2018 11 12, 2018",Rahat Rahim Pathao Inc,0,App issues have been fixed. But I have stopped using Pathao service as none of the riders in chittagong provide helmet to the passengers. Not willing to take life risk.
1,"11 10, 2018 11 6, 2018",Mashrur Rahman Pathao Inc,11,Long pickup times. The map in the app need to be upgraded with more zoming option. Give us safety helmets instead of safety caps.
1,"10 26, 2018 11 3, 2018",shahadat hossain Pathao Inc,0,Need to improve navigation system
1,"10 28, 2018 11 3, 2018",Fahimul Islam Pathao Inc,0,Cheater..
1,"11 13, 2018 11 8, 2018",Sadman Rashik Alam Pathao Inc,0,Fraud App.
1,"2 18, 2018 2 27, 2018",sahadat hossain Pathao Inc,0,best faltu app
1,"11 10, 2018 11 11, 2018",A Google user Pathao Inc,0,good bye ।। পাঠা
1,"11 10, 2018 11 10, 2018",MI Gaming Pathao Inc,0,Stupid!!
1,"11 16, 2018 11 19, 2018",jihad 518 Pathao Inc,0,no discount!
1,"11 15, 2018 11 19, 2018",Md Siam Pathao Inc,0,Fix your tracking system.
1,"11 16, 2018 5 3, 2017",Helal Sujon Pathao Inc,2,Please fix your app first. Didn't find the location. Poor navigation.
1,"8 15, 2018 11 13, 2018",A Google user Pathao Inc,0,faltu
1,"8 15, 2018 11 13, 2018",A Google user Pathao Inc,0,poor
1,"11 15, 2018 11 19, 2018",Arif Hasan Pathao Inc,0,Broke our trust
1,"11 15, 2018 11 19, 2018",Advocate Mohiuddin Khan Pathao Inc,0,app quality is very poor
1,"11 19, 2018 11 19, 2018",Shakil Ahmed Pathao Inc,0,They need more improvement
1,"6 6, 2017 12 21, 2017",A Google user Pathao Inc,0,is very very  bad
1,"11 10, 2018 11 10, 2018",Tony Leo Pathao Inc,2,This app should be taken down
1,"12 20, 2017 12 24, 2017",Md Rajj Rahid Pathao Inc,0,Dislike
1,"11 11, 2018 11 15, 2018",Hossain Zihad Pathao Inc,0,u deserve this
1,"10 19, 2018 11 4, 2018",A Google user Pathao Inc,0,need to easy
1,"8 26, 2018 11 12, 2018",Mahitul Islam Pathao Inc,0,It is good
1,"4 4, 2018 4 13, 2018",A Google user Pathao Inc,0,very nice
