Star,Date,Name,Reaction,Review,Week
5,2018-09-01,Hasna Hena Lucky,0,Good,Week 1
5,2018-09-01,Tiding Agency,0,Awesome app,Week 1
5,2018-09-01,Saimoom Showrov,118,"While rating the Pathao driver, we can only like or dislike the ride. Please add some criteria to rate the ride i.e. 1. Rate the driver's efficiency in driving. 2. Did the driver ask for exact fare? 3. Rate the driver's behavior? etc.",Week 1
5,2018-09-01,Jakir Hossain,0,nice,Week 1
1,2018-09-01,Ferdous Ahmed,7,need to work more to develop this app,Week 1
5,2018-09-01,Jowelahmed Prince nice,0,nice,Week 1
5,2018-09-01,Ar Rubel,0,Let's see,Week 1
4,2018-09-01,Kazi Moyeen Anisul,7,The app is not working Version 2.3.1,Week 1
5,2018-09-01,MD. Sabbir,6,It's really helpful....,Week 1
4,2018-09-01,Nim's Kitchen,0,I'm Glad,Week 1
5,2018-09-01,kalponic bappy,0,এই এ্যপটা দারুন কাজে দিবে,Week 1
5,2018-09-02,A Google user,0,it is very  important in our life,Week 1
5,2018-09-02,A Google user,2,Fine,Week 1
5,2018-09-02,Md Faysal Arif,0,সেবা টা খুলানায় কি আসববে?,Week 1
5,2018-09-02,RS.emran hossen,0,user nine,Week 1
5,2018-09-02,Tariq Choudhury,0,Smooth rides in bd,Week 1
5,2018-09-02,jibon jibon,0,Jibon,Week 1
5,2018-09-03,A Google user,3,Best service of pathao food by far,Week 1
5,2018-09-03,Md.Shafiqul Islam,8,Most useful app. Reduced a both cost and pain . Thanks pathao team,Week 1
5,2018-09-03,Ripon Ali,0,nice,Week 1
5,2018-09-03,A Google user,0,অনেক ভাল একটা এপস্,Week 1
5,2018-09-03,Akbar Ali,7,"It'll be better, if you keep another sign up system. Why i've to use kit's system! Develop your own sign up system.",Week 1
5,2018-09-03,nsnil Sunny,0,Good,Week 1
5,2018-09-03,rabbi bd,0,nice apk,Week 1
5,2018-09-03,official NHtube,0,Good,Week 1
5,2018-09-03,MD KAMRAN,0,have a good journey all time.....,Week 1
5,2018-09-03,Nazmul Huda,0,Good,Week 1
5,2018-09-03,MD. Jewel,0,Nice,Week 1
3,2018-09-04,Muhammed Asaduzzaman,28,Please ask all of your bikers to keep spare helmet with them and offer every passenger to wear it before start every ride. Kindly think it seriously because it's safety related issue.,Week 1
4,2018-09-04,Syed Md. As-Sazid,47,I got a pretty good service in my first use of this app. The fare is comparatively cheaper. There is no burgaining like we used to do with CNG drivers. The driver was very well mannered. Felt like a service of western countries. Thanks to Pathao.,Week 1
5,2018-09-04,Sajeeb Khan,6,This App is Very Good & Convenient.. 👌👌,Week 1
5,2018-09-04,A Google user,5,Fine,Week 1
5,2018-09-04,Al Amin,0,Good,Week 1
5,2018-09-04,A Google user,0,I will try,Week 1
5,2018-09-04,Al Amin,0,Good,Week 1
1,2018-09-04,Kawsar Ahmed,0,md azad,Week 1
3,2018-09-04,A Google user,1,ভাই আপনাদের মোটরসাইকেল চালক গুলোকে বলবেন গাড়িতে উঠানোর আগে যাতে ভালো করে দেখে নেয় যে কোথায় নামাতে হবে।আর দুইটা হেলমেট অবশ্যই রাখতে বলবেন। ধন্যবাদ।,Week 1
5,2018-09-04,Nazmul Naim,22,খুব ভালো একটি সার্ভিস।  তবে drug addicted আর unprofessional লোকদের নিয়োগ না দেয়ার অনুরোধ রইলো। ধন্যবাদ।।,Week 1
5,2018-09-04,M.A. Rahim,0,Good apps,Week 1
5,2018-09-05,A Google user,0,Awfully Awesome..,Week 1
5,2018-09-05,RAFI AHmeD,1,Fast Rides,Week 1
5,2018-09-05,nazir Ahmad,0,good app,Week 1
1,2018-09-05,Md Rakibul,0,its tooo costly,Week 1
3,2018-09-05,Belal Nhossain,1,"apps should be more developed. some functions not work correctly like gps 
tracking...",Week 1
5,2018-09-05,Shujon Shujon,0,Shujon Ñ,Week 1
5,2018-09-05,Sagar Raz,1,Best one,Week 1
2,2018-09-05,Jahir Ibna,3,"App is getting worse day by day. I have been overcharged but later given 
money back quite a gew times. Also, the map is disappearing time and again. 
Disappointed.",Week 1
5,2018-09-05,Navina Kabir,1,I love Pathao,Week 1
5,2018-09-05,A Google user,1,usefull apps,Week 1
3,2018-09-06,Rakib Hussain,0,When I apply promtion code but not useful properly,Week 1
5,2018-09-06,A Google user,0,Good good good😀,Week 1
5,2018-09-06,A Google user,0,Really Good.,Week 1
1,2018-09-06,Sudorshon Kumar,0,faul jinish potro,Week 1
3,2018-09-06,Nafis Ul Islam,0,"I would've rated 5 star if not for the excessive fare & the fact that i'm 
not getting any discount! please do something about it...",Week 1
5,2018-09-06,Bipul sarker,0,Good service,Week 1
5,2018-09-06,atif aslam,0,good job,Week 1
5,2018-09-06,Sirajummunir Tahsin,0,just amazing pathao food,Week 1
5,2018-09-06,A Google user,0,Nice apk,Week 1
1,2018-09-06,Castor Troy,1,"They kind of deceptive as a ride share provider. They will give you 
discount for 50-60% before you asked for a ride and when your ride 
completed, you will be charged over the actual cost of the ride. And when 
you complain about the issue, you will be answered as they gonna add 
another f**king 60...Full ReviewThey kind of deceptive as a ride share provider. They will give you 
discount for 50-60% before you asked for a ride and when your ride 
completed, you will be charged over the actual cost of the ride. And when 
you complain about the issue, you will be answered as they gonna add 
another f**king 60% discount on your next ride as compensation and the same 
rip off will happen again at your next ride. Moreover, many of their 
drivers are not experienced enough. So, please consider the other 
alternative options before you get hurt.",Week 1
1,2018-09-06,Monzurul islam,0,Fair too high,Week 1
5,2018-09-06,MD MONJURUL ISLAM,0,great app,Week 1
2,2018-09-06,HIMU,1,ফালতু অ্যাপ,Week 1
5,2018-09-06,র বি,1,good service but price so high,Week 1
5,2018-09-06,Big Baby,0,Some drivers are very rude to their speeccc...hope u solve this problem....,Week 1
4,2018-09-06,A.K. H,5,I'm enjoying,Week 1
5,2018-09-06,A Google user,0,it doesn't download,Week 1
3,2018-09-06,A Google user,0,good,Week 1
4,2018-09-07,Arup Mazumder,0,Nice app,Week 1
5,2018-09-07,Amin Islam,1,Make my distances short,Week 1
5,2018-09-07,Mohammad Haque,0,GOOD,Week 1
1,2018-09-07,Mahfuzer Rahman,0,"Bad Service, no connection available time",Week 1
5,2018-09-07,A Google user,0,I love it,Week 1
4,2018-09-07,nabil mukhar,1,"Driver's and vehicle information should be more specified sometimes it 
becomes difficult to identify the vehicle many of us have knowledge about 
model number of the vehicle. I hope you guys will work on this.",Week 1
5,2018-09-07,dawate islami,0,Thanks.,Week 1
3,2018-09-07,Mahmud Manik,2,"it's just for time reduction. Bike are available around us. New features 
should be added..",Week 1
5,2018-09-07,Khaled Ahmed,0,Love it,Week 1
5,2018-09-07,A Google user,0,Nine,Week 1
1,2018-09-11,Touhidul Islam,0,It stealing personal info,Week 2
1,2018-09-11,Tonmoy Mohajan,2,why do you need to store user's messages and contact?,Week 2
1,2018-09-11,HM's Official,6,"Its a foul app,,,,I hate it",Week 2
1,2018-09-11,Imrul Hasan Emu,0,This app stores users personal information.,Week 2
1,2018-09-11,A Google user,0,Thief.. they steal your personal information.,Week 2
1,2018-09-11,Niladro Rahat,0,সবাই আনইন্সটল করেন আর ১* রেটিং দেন।শালা চোরের বাচ্চারা পাবলিকের তথ্য চুরি কতজনের ক্ষতি জানি করেছে।,Week 2
1,2018-09-11,Burhan Uddin,0,Wth....why are you collecting private data without even taking permission? I liked your business but uninstalling now!,Week 2
1,2018-09-11,A Google user,9,This app stolen users information,Week 2
1,2018-09-11,Tiny Gamer,0,They are stealing personal information to their server,Week 2
1,2018-09-11,Mr DipTo,0,Stealing our private messages. Totally disappointing!,Week 2
1,2018-09-11,Faisal Hasan,0,They steal all personal information of the users by accessing phone contacts & messages and store it to their server. Even they over charge after finishing the ride.,Week 2
1,2018-09-11,sazid mahmud,0,They steal users data.,Week 2
1,2018-09-11,Jahin UL-KABIR,0,They steal personal informations from the users.. Such a shame...,Week 2
1,2018-09-11,Dark Shoumic,0,This app is Violating Ethical Norms of Collecting Data,Week 2
1,2018-09-11,Creators Destination,0,they steals data from user devices without informing,Week 2
1,2018-09-11,Ahmad shakir,0,Pathao should be punished for data theft. Uninstalling...,Week 2
1,2018-09-11,MD. AL-AMIN,0,এর থেকে কম রিভিউ দেয়া সম্ভব না।,Week 2
1,2018-09-11,Shahin Shah,7,Why they access my personal info?,Week 2
1,2018-09-11,Momenul Hasan Himel,0,Privacy concern,Week 2
1,2018-09-11,A Google user,0,Don't steal our data. We aren't uneducated. Best wishes for future. Be humble. People will love you. :-),Week 2
1,2018-09-11,amir faisal,0,they are stealing users private messages form cellphone which they have no right to do,Week 2
1,2018-09-11,Ifteekhar ahmed,0,U don't have any right to steal our information via App.,Week 2
1,2018-09-11,A Google user,0,Steals personal data. Should not be in google store.,Week 2
1,2018-09-11,Ehtashamul Haque,0,Stop stealing personal information,Week 2
1,2018-09-11,Rezwanur Rahman Rana,0,Bad practice of stealing information,Week 2
1,2018-09-11,Shahad Al Alam,5,It steals private sms and contacts,Week 2
1,2018-09-11,Md Shahin Ahmed,0,মাদারচোদ অ্যাপ👿👿👿,Week 2
1,2018-09-11,Mohammad Rasel,0,Privacy,Week 2
1,2018-09-11,fahim karim,4,The app service is not good,Week 2
1,2018-09-11,Azmain Iktidar Sakib,8,Data thief..gonna uninstall..😑,Week 2
1,2018-09-11,Mr.Wizard Khan,4,শুয়ারের বাচ্চা দিলাম আনইন্সটল কইরা। মারা খা,Week 2
1,2018-09-11,A Google user,2,You don't have the right to store our messages!,Week 2
1,2018-09-11,Muaz Sadique,1,They take data without user's consent!,Week 2
1,2018-09-11,Old Nick,0,you know why you deserve a single star...,Week 2
1,2018-09-11,RAFSAN NAZMUL,0,This app steals private informations like contacts and text messages from our phones,Week 2
1,2018-09-11,fahim majumder,0,This app stolen my personal data,Week 2
1,2018-09-11,saifur rahaman,0,User der personal information niye ki koren?,Week 2
1,2018-09-11,BoorishVlogger BD,0,Fraud app. They are stealing People's activities and informations.,Week 2
1,2018-09-11,Fahim Wahid,0,"Shame you, you used people and you are stealing people's data. Uninstalled",Week 2
1,2018-09-11,Arafat Rahman,0,ডাটা চুরি করে। ছি 😪,Week 2
1,2018-09-11,A Google user,0,Thief of Data! Change your permission for using your app. Otherwise we wont use your services.,Week 2
1,2018-09-11,Armageddon 7889 brot,0,The violation of data privacy is giving everyone a big headache,Week 2
1,2018-09-11,Srabon Sakib,0,They are thief. They steal user data. This app should be banned.,Week 2
1,2018-09-11,Pallab Saha,1,Hacking my data is not your fair work....,Week 2
1,2018-09-11,arabindo jewel,0,Fraud apps... It's steals personal information. Pls everybody uninstall it...,Week 2
1,2018-09-11,Delowr Hosen,0,Chor,Week 2
1,2018-09-11,Evan Jubair,0,It's hacking our personal information.which is known as a crime.,Week 2
1,2018-09-11,Mostafa Afzal Fahim,0,They Stealing personal information. Please don't Use This.,Week 2
1,2018-09-11,A Google user,0,Coz garbage service from the riders and not to mention it steals user info,Week 2
1,2018-09-11,Ismail Hossain Khan,0,Why you need so much permission? This is unlawful! Government should take action against it asap!!!,Week 2
1,2018-09-11,Faisal Maksud,1,Good bye Pathao. You just lost a regular user for stealing user details.,Week 2
1,2018-09-11,Miraj Khan,1,This app is stealing and storing user contacts and all SMS including confidential and private ones at server. Beware of this.,Week 2
1,2018-09-11,Ashraful Islam,0,Stop stealing...,Week 2
1,2018-09-11,WindY DazE,0,ডাটা চোর 😑,Week 2
1,2018-09-11,Ahmad Rushd,0,They stores users SMS to their servers. Already unstalled it.,Week 2
1,2018-09-11,Md RaHaT,0,Churi koros ken fokinni,Week 2
1,2018-09-11,Sadaf Shahriar,0,This app should not be in play store anymore.,Week 2
1,2018-09-11,Jewel Roy,0,This app steals your personal data.,Week 2
1,2018-09-11,Mahabub Sharker,0,This app enters users private information like contact and messages and store them,Week 2
1,2018-09-11,A Google user,0,This app stores users private data and contact and store them on their server,Week 2
1,2018-09-11,arpita purba,0,steals users data,Week 2
1,2018-09-11,Mehedi Hasan,0,This apps takes all information from customers phone,Week 2
1,2018-09-11,Mostafizur Rahman Ashik,0,this app steals peoples valuable information WARNING: Don't install,Week 2
1,2018-09-11,Raihan Ul,0,They are fraud.,Week 2
1,2018-09-11,habibullah shawon,0,They store people's private information And use it,Week 2
1,2018-09-11,Junayed Bogdadi,0,why you want to access our contact nd sms info...unistall it👎,Week 2
