star,date,Name,Review Like,Review Text
"<div aria-label=""Rated 2 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 19, 2018",Ariful Islam Anik,3,"ভাড়াটা তুলনা অনেক বেশী। প্রতিটি রাইড শেষে Like & Dislike দেয়া যায়, এটা ভালো। কিন্তু, কেনো Dislike দিলাম কারণ জানানোর Option দিলে ভালো হতো।"
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 19, 2018",A Google user,0,This is really a bad app . I have some problem with it because this app can access my all personal data from my device this hilarious and really harmful
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 16, 2018 November 1, 2018",A Google user Pathao Inc,23,"Best app ever! No app is better than this! Hey, I think Pathao should start Pathao Groceries! It will be much more useful and save time for people. And I think it should have a pre-order option in Pathao Food so that also saves time. And BTW, great app!"
"<div aria-label=""Rated 2 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 17, 2018 November 15, 2018",Ekhlas Hossain Pathao Inc,35,"I use Pathao regularly for rides but, This app lack of some features. E.g: Road traffic conditions are not shown in map, Rerouting based on realtime traffic are not followed, Expected time of arrival are never shown. And the most annoying notification I get either from ""Pathao Food"" or ""Parcel"". Pat...Full ReviewI use Pathao regularly for rides but, This app lack of some features. E.g: Road traffic conditions are not shown in map, Rerouting based on realtime traffic are not followed, Expected time of arrival are never shown. And the most annoying notification I get either from ""Pathao Food"" or ""Parcel"". Pathao Pay pop-up is also disturbing. Pathao should make different light weight apps for different services. I don't use any services except Pathao Rides."
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 14, 2018",Nivrito Nirjhor,96,"We were very proud of you guys as our own company. But You guys just broke our trust. Irregular fair was fact, but still we supported you. But stealing our privacy! Just shame on you! I'm a regular pathao user, but from few days ago I'm searching for different apps for ride. I decided to remove this...Full ReviewWe were very proud of you guys as our own company. But You guys just broke our trust. Irregular fair was fact, but still we supported you. But stealing our privacy! Just shame on you! I'm a regular pathao user, but from few days ago I'm searching for different apps for ride. I decided to remove this app from my mobile.. There are couple of good apps for ride share. So, don't u think that u r only one and do whatever u want! Just say sorry in publicly and regain ur trust. Otherwise u will be gone.. Best wishes.."
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 18, 2018 November 7, 2018",Rajib Bright Pathao Inc,6,"Do you guys even pay the smallest amount care about the people who take rides? If yes then how can morons like the driver of my last ride can be a part of pathao? He tried to make me the way he wanted. When he failed he tried to start a quarrel with the help of local people. When he failed again he ...Full ReviewDo you guys even pay the smallest amount care about the people who take rides? If yes then how can morons like the driver of my last ride can be a part of pathao? He tried to make me the way he wanted. When he failed he tried to start a quarrel with the help of local people. When he failed again he tried to threaten me by saying I can't leave this place and he is ""elakar pola"" and he is calling other ""polapains"". He also used demeaning terms like ""protibondhi"" towards me. He tried to instigate others by saying, ""150 taka vara dia mone hoi bike kinna laiche."" He also tried to call me a bike thief. He tried to make me cancel the ride when I don't have the opportunity. It is a clear example of exploiting features of your app which you guys don't have. How can you guys be a project worth billion with this type of riders? I had issues with pathao before and this time it was the limit. Seems to me you guys are paying less and less attention to the people who are sharing a ride. And the security issue is a big one at it. Maybe I should avoid pathao after all."
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 19, 2018",Sumon Prodhan,0,"The ride sharing fare is low compared to UBER & the availablity of bikes is higher than UBER, it's top competitor. But the last incident took place that it robbers every messages from the user's device is just terrific and unacceptable. The chief of the company accepts it & explained that it is for ...Full ReviewThe ride sharing fare is low compared to UBER & the availablity of bikes is higher than UBER, it's top competitor. But the last incident took place that it robbers every messages from the user's device is just terrific and unacceptable. The chief of the company accepts it & explained that it is for security reasons, horrible!! Most of the drivers are unskilled, using MAP & driving at Dhaka as the are outsiders from Dhaka! But after completing ride while rating, the option that: whether the driver provided Helmet or not is Awesome. At the same time the option to rate driver as just LIKE or Dislike is worse when UBER has 05 grading system. Leaving the app from information security concern!"
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 15, 2018 November 19, 2018",Md.Reefat Hossain Pathao Inc,18,Very bad service because it is force me to use location on all the time I open the app. If the location is off this app not operate !
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 18, 2018",Khalid Saad,1,"They are stealing scumbags, who steal their clients' sms from mobile for their own profit."
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 19, 2018",Arafat Mahmud,11,Pathao App's UI is the best among the local ride sharing apps in BD. Never experienced any bug.
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","November 17, 2018 November 7, 2018",smmoners evil Pathao Inc,1,Its excellent and I think everyone should use Pathao for daily up-down to work place or other places.
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 14, 2018",Delicious FooD,19,Very bad Driver and there location founding technology
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 15, 2018",Md. Ragib Aunjum,30,Digital thief. They steal users personal information.
"<div aria-label=""Rated 3 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 15, 2018 November 19, 2018",nAZRUL iSLAM Pathao Inc,12,This apps map need to have more features. Like googlemap
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 14, 2018",Ibrahim Emran,18,Drivers not perfect as well as company.
